"","parking","rooms","balcony","terrace","price","elevator","surface","heating","swimming_pool","air_conditioner","tipo_vivienda"
"65",FALSE,1,FALSE,FALSE,199000,FALSE,41,FALSE,FALSE,FALSE,"Piso"
"66",FALSE,4,FALSE,FALSE,340000,FALSE,198,FALSE,TRUE,FALSE,"Casa"
"67",FALSE,4,FALSE,FALSE,222000,FALSE,99,FALSE,FALSE,FALSE,"Piso"
"68",FALSE,3,FALSE,FALSE,255000,FALSE,80,FALSE,TRUE,FALSE,"Piso"
"69",FALSE,3,FALSE,FALSE,209000,FALSE,77,FALSE,FALSE,FALSE,"Piso"
"70",FALSE,3,TRUE,FALSE,120000,FALSE,68,FALSE,FALSE,FALSE,"Piso"
"71",FALSE,2,FALSE,FALSE,205000,TRUE,60,FALSE,FALSE,FALSE,"Piso"
"72",FALSE,3,FALSE,FALSE,186800,FALSE,82,FALSE,FALSE,FALSE,"Piso"
"73",FALSE,2,FALSE,FALSE,108000,FALSE,50,FALSE,FALSE,FALSE,"Piso"
"74",FALSE,2,FALSE,FALSE,219000,FALSE,70,FALSE,FALSE,FALSE,"Piso"
"75",FALSE,3,FALSE,FALSE,355000,FALSE,98,FALSE,FALSE,FALSE,"Piso"
"76",TRUE,2,FALSE,FALSE,238000,FALSE,72,FALSE,FALSE,FALSE,"Otros"
"77",FALSE,3,FALSE,TRUE,285000,FALSE,114,FALSE,FALSE,FALSE,"Casa"
"78",FALSE,3,FALSE,TRUE,3e+05,FALSE,105,FALSE,FALSE,FALSE,"Casa"
"79",FALSE,5,FALSE,TRUE,240000,FALSE,186,FALSE,FALSE,FALSE,"Casa"
"80",FALSE,2,FALSE,FALSE,239000,FALSE,140,FALSE,FALSE,FALSE,"Piso"
"81",FALSE,3,FALSE,FALSE,169000,FALSE,75,FALSE,FALSE,FALSE,"Piso"
"82",FALSE,3,FALSE,FALSE,154000,FALSE,83,FALSE,FALSE,FALSE,"Piso"
"83",FALSE,3,FALSE,FALSE,160000,FALSE,93,FALSE,FALSE,FALSE,"Piso"
"84",FALSE,4,FALSE,FALSE,368500,FALSE,106,FALSE,FALSE,FALSE,"Piso"
"85",FALSE,3,FALSE,FALSE,199000,FALSE,116,FALSE,FALSE,FALSE,"Piso"
"86",FALSE,4,FALSE,FALSE,399000,TRUE,116,FALSE,FALSE,FALSE,"Piso"
"87",FALSE,4,FALSE,FALSE,290000,FALSE,110,FALSE,FALSE,FALSE,"Piso"
"88",FALSE,4,FALSE,FALSE,275000,FALSE,80,FALSE,FALSE,FALSE,"Piso"
"89",FALSE,4,FALSE,TRUE,189000,FALSE,160,FALSE,FALSE,FALSE,"Casa"
"90",FALSE,3,FALSE,FALSE,199000,FALSE,85,FALSE,FALSE,FALSE,"Piso"
"91",FALSE,4,FALSE,FALSE,186000,FALSE,94,FALSE,FALSE,FALSE,"Piso"
"92",FALSE,3,FALSE,FALSE,375000,TRUE,80,FALSE,FALSE,FALSE,"Piso"
"94",FALSE,3,FALSE,TRUE,590000,FALSE,197,FALSE,FALSE,FALSE,"Casa"
"95",FALSE,4,FALSE,FALSE,215000,FALSE,110,FALSE,FALSE,FALSE,"Piso"
"97",FALSE,3,FALSE,TRUE,590000,FALSE,197,FALSE,FALSE,FALSE,"Casa"
"98",FALSE,3,FALSE,FALSE,225000,FALSE,88,FALSE,FALSE,FALSE,"Piso"
"99",FALSE,3,FALSE,FALSE,179000,FALSE,83,FALSE,FALSE,FALSE,"Piso"
"100",FALSE,4,FALSE,FALSE,201500,FALSE,125,FALSE,FALSE,FALSE,"Piso"
"101",FALSE,2,FALSE,FALSE,265000,FALSE,111,TRUE,FALSE,FALSE,"Piso"
"102",FALSE,3,FALSE,FALSE,129000,TRUE,91,FALSE,FALSE,FALSE,"Piso"
"103",FALSE,3,FALSE,FALSE,129000,TRUE,91,FALSE,FALSE,FALSE,"Piso"
"106",FALSE,4,FALSE,TRUE,420000,FALSE,200,FALSE,FALSE,FALSE,"Casa"
"107",FALSE,4,FALSE,TRUE,375000,FALSE,206,FALSE,FALSE,FALSE,"Casa"
"108",FALSE,5,FALSE,TRUE,429800,FALSE,203,FALSE,FALSE,FALSE,"Casa"
"109",FALSE,6,FALSE,FALSE,265000,FALSE,204,FALSE,FALSE,FALSE,"Casa"
"111",FALSE,3,FALSE,FALSE,274890,FALSE,64,FALSE,FALSE,FALSE,"Piso"
"114",FALSE,3,FALSE,FALSE,239000,FALSE,92,TRUE,FALSE,TRUE,"Piso"
"115",FALSE,2,FALSE,TRUE,198000,FALSE,70,FALSE,FALSE,FALSE,"Piso"
"116",TRUE,4,FALSE,FALSE,275000,TRUE,80,FALSE,FALSE,FALSE,"Piso"
"117",FALSE,3,FALSE,FALSE,161000,FALSE,90,TRUE,FALSE,TRUE,"Piso"
"118",FALSE,2,FALSE,FALSE,205000,FALSE,80,FALSE,FALSE,FALSE,"Piso"
"119",FALSE,3,FALSE,FALSE,235000,TRUE,75,FALSE,FALSE,FALSE,"Piso"
"121",FALSE,2,FALSE,FALSE,136000,FALSE,61,FALSE,FALSE,FALSE,"Piso"
"122",FALSE,4,FALSE,FALSE,225000,TRUE,87,FALSE,FALSE,FALSE,"Piso"
"124",FALSE,4,FALSE,FALSE,265000,TRUE,105,FALSE,FALSE,FALSE,"Piso"
"125",FALSE,3,FALSE,FALSE,140000,FALSE,71,FALSE,FALSE,FALSE,"Piso"
"126",FALSE,2,FALSE,FALSE,185000,TRUE,65,FALSE,FALSE,FALSE,"Piso"
"127",FALSE,4,FALSE,TRUE,173000,FALSE,98,FALSE,FALSE,FALSE,"Piso"
